ds,y
1356,5815
1357,4884
1358,4443
1359,3742
1360,3091
1361,4734
1362,5692
1363,5221
1364,4975
1365,4687
1366,3495
1367,3205
1368,5055
1369,5272
1370,5342
1371,5334
1372,5280
1373,3227
1374,2866
1375,5512
1376,5592
1377,5522
1378,5106
1379,4626
1380,2901
1381,2589
1382,3715
1383,5241
1384,5433
1385,5092
1386,5009
1387,3420
1388,2979
1389,5748
1390,5446
1391,6680
1392,6929
1393,6703
1394,4211
1395,3437
1396,5678
1397,6229
1398,5533
1399,4984
1400,4890
1401,3525
1402,3890
1403,6317
1404,5710
1405,5350
1406,5240
1407,6062
1408,3620
1409,3398
1410,4440
1411,7020
1412,7105
1413,6210
1414,5272
1415,3995
1416,3008
1417,5642
1418,6676
1419,6057
1420,6214
1421,4409
1422,2497
1423,6055
1424,9450
1425,7162
1426,5681
1427,3181
1428,4460
1429,4209
1430,3262
1431,5255
1432,5698
1433,5566
1434,5461
1435,5212
1436,3904
1437,4459
1438,6334
1439,6235
1440,6509
1441,7346
1442,6489
1443,4352
1444,4477
1445,6759
1446,6230
1447,6029
1448,5558
1449,5052
1450,3406
1451,3256
1452,5219
1453,4298
1454,3163
1455,5696
1456,5006
1457,3273
1458,3344
1459,5656
1460,5033
1461,3829
1462,6068
1463,6278
1464,7393
1465,5598
1466,6882
1467,11210
1468,10923
1469,8620
1470,6655
1471,4399
1472,4588
1473,6397
1474,6717
1475,6556
1476,6500
1477,6308
1478,4060
1479,4327
1480,4673
1481,6686
1482,8606
1483,10020
1484,8984
1485,6452
1486,5462
1487,7729
1488,8300
1489,7765
1490,8086
1491,5966
1492,4639
1493,3552
1494,6051
1495,6839
1496,7062
1497,8783
1498,7635
1499,5603
1500,4704
1501,7237
1502,7731
1503,7210
1504,6284
1505,6710
1506,4914
1507,4914
1508,6873
1509,6830
1510,7120
1511,6588
1512,6763
1513,4431
1514,4397
1515,7342
1516,7376
1517,7179
1518,7156
1519,7549
1520,4828
1521,4138
1522,6577
1523,6972
1524,6671
1525,6885
1526,5881
1527,4417
1528,3962
1529,6316
1530,6096
1531,6049
1532,6832
1533,6397
1534,4207
1535,4348
1536,6176
1537,6565
1538,6506
1539,6296
1540,5874
1541,4607
1542,4201
1543,7166
1544,6018
1545,6137
1546,5983
1547,5254
1548,4025
1549,4505
1550,6298
1551,6241
1552,6074
1553,6031
1554,5780
1555,4342
1556,3855
1557,5903
1558,6280
1559,5830
1560,5821
1561,5716
1562,3908
1563,3917
1564,5875
1565,5172
1566,6105
1567,5940
1568,5014
1569,3580
1570,3265
1571,5856
1572,5624
1573,5902
1574,5842
1575,5516
1576,4176
1577,3802
1578,6115
1579,5964
1580,7301
1581,7918
1582,5923
1583,4479
1584,3850
1585,6569
1586,6419
1587,5879
1588,6189
1589,5727
1590,4500
1591,4426
1592,6753
1593,6214
1594,6265
1595,5735
1596,6192
1597,5090
1598,4528
1599,6165
1600,6463
1601,6528
1602,5874
1603,5546
1604,3882
1605,4585
1606,4817
1607,7074
1608,6330
1609,6033
1610,6399
1611,4697
1612,4629
1613,6377
1614,6304
1615,6382
1616,5941
1617,5964
1618,4725
1619,4492
1620,6829
1621,6891
1622,6283
1623,6087
1624,6429
1625,4868
1626,4909
1627,7050
1628,6851
1629,7039
1630,6570
1631,6439
1632,5112
1633,4554
1634,6543
1635,7189
1636,6441
1637,6662
1638,6348
1639,4697
1640,4454
1641,6455
1642,6554
1643,6742
1644,6382
1645,3440
1646,4559
1647,4268
1648,6825
1649,6982
1650,7544
1651,6683
1652,6085
1653,4456
1654,3986
1655,6614
1656,7103
1657,6779
1658,6388
1659,6024
1660,4405
1661,4241
1662,6467
1663,6215
1664,6045
1665,6083
1666,5818
1667,4569
1668,4134
1669,6557
1670,6050
1671,5901
1672,5624
1673,5475
1674,4217
1675,3947
1676,5224
1677,6401
1678,6034
1679,5895
1680,6059
1681,4399
1682,4160
1683,6223
1684,5732
1685,6247
1686,5540
1687,5278
1688,4683
1689,3977
1690,5953
1691,6184
1692,5959
1693,5499
1694,5045
1695,4610
1696,4250
1697,5806
1698,5962
1699,5518
1700,5765
1701,5199
1702,4088
1703,3948
1704,3974
1705,6416
1706,5991
1707,6394
1708,5964
1709,4499
1710,3978
1711,6249
1712,5657
1713,5751
1714,5686
1715,5415
1716,3756
1717,3542
1718,5617
1719,5930
1720,6244
1721,5923
1722,5659
1723,4664
1724,4095
1725,6042
1726,5765
1727,5845
1728,4716
1729,5425
1730,4663
1731,3930
1732,6408
1733,5565
1734,5829
1735,5621
1736,5387
1737,4159
1738,4103
1739,6186
1740,5996
1741,5840
1742,5457
1743,5345
1744,4072
1745,4072
1746,4079
1747,5862
1748,5719
1749,5759
1750,5551
1751,4262
1752,4687
1753,7903
1754,6224
1755,6106
1756,7318
1757,6402
1758,4772
1759,4231
1760,6704
1761,6240
1762,5704
1763,6712
1764,6472
1765,5684
1766,6380
1767,7702
1768,5326
1769,6026
1770,6057
1771,6296
1772,5445
1773,4256
1774,6644
1775,4823
1776,5927
1777,7190
1778,7193
1779,5970
1780,5149
1781,7172
1782,9076
1783,9044
1784,7131
1785,7085
1786,4912
1787,4047
1788,6089
1789,5430
1790,5501
1791,3583
1792,5246
1793,4630
1794,4210
1795,6835
1796,6954
1797,6222
1798,6666
1799,6033
1800,4320
1801,4938
1802,8129
1803,8913
1804,6967
1805,6460
1806,6430
1807,4814
1808,4131
1809,6299
1810,6136
1811,5937
1812,6035
1813,5559
1814,4555
1815,4162
1816,6248
1817,4955
1818,4222
1819,2953
1820,4097
1821,3519
1822,3699
1823,6692
1824,6314
1825,5235
1826,4186
1827,5309
1828,4172
1829,3875
1830,7032
1831,7567
1832,8966
1833,11330
1834,8014
1835,6050
1836,5329
1837,6525
1838,6857
1839,6102
1840,5430
1841,5860
1842,5154
1843,4494
1844,4926
1845,6371
1846,6896
1847,6477
1848,6323
1849,4714
1850,4175
1851,6011
1852,4894
1853,7471
1854,6803
1855,5975
1856,6422
1857,4879
1858,6934
1859,9124
1860,8106
1861,7187
1862,7357
1863,5025
1864,4808
1865,6716
1866,6437
1867,6430
1868,6355
1869,7485
1870,5306
1871,6162
1872,10371
1873,8267
1874,7264
1875,7681
1876,9215
1877,6348
1878,5801
1879,8620
1880,8823
1881,7750
1882,7514
1883,6769
1884,5512
1885,4822
1886,7047
1887,7376
1888,7665
1889,6433
1890,7273
1891,5514
1892,4944
1893,7660
1894,8018
1895,8109
1896,8187
1897,7033
1898,5304
1899,5197
1900,7709
1901,7437
1902,7948
1903,7414
1904,6615
1905,4982
1906,4605
1907,7454
1908,7018
1909,6691
1910,6696
1911,6957
1912,4842
1913,4557
1914,7178
1915,7137
1916,6890
1917,6548
1918,5659
1919,4543
1920,3860
1921,6758
1922,6906
1923,7014
1924,6673
1925,5979
1926,4619
1927,4411
1928,6591
1929,6679
1930,6745
1931,6495
1932,6434
1933,5273
1934,4669
1935,7245
1936,6919
1937,6808
1938,7279
1939,6795
1940,5062
1941,4601
1942,6946
1943,6833
1944,7012
1945,6440
1946,6406
1947,4639
1948,5083
1949,7056
1950,7124
1951,6822
1952,6837
1953,6298
1954,5147
1955,5235
1956,7263
1957,7263
1958,6408
1959,6672
1960,6201
1961,4633
1962,4857
1963,6812
1964,6852
1965,6805
1966,6298
1967,5591
1968,4698
1969,4720
1970,5002
1971,7339
1972,6937
1973,7158
1974,6684
1975,5562
1976,5223
1977,7572
1978,6776
1979,7055
1980,6554
1981,6183
1982,5526
1983,5287
1984,7041
1985,6976
1986,7084
1987,6993
1988,6989
1989,5628
1990,5187
1991,7939
1992,7816
1993,7278
1994,6712
1995,6727
1996,5147
1997,5152
1998,7620
1999,7552
2000,8018
2001,7400
2002,6692
2003,4603
2004,5127
2005,8164
2006,7277
2007,7614
2008,6310
2009,4800
